route,carrier,parameter,source_value,effective_value,units,admission,scope,reason,source,implementation
wholesale_overlay,coal,ramp_limit_up,0.35,0.35,fraction of p_nom per snapshot; no snapshot-weight scaling,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L373,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,coal,ramp_limit_down,0.35,0.35,fraction of p_nom per snapshot; no snapshot-weight scaling,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L374,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,coal,start_up_cost_per_mw,80.0,80.0,model currency/MW per transition; multiplied by p_nom to get currency,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L375,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,coal,shut_down_cost_per_mw,0.0,0.0,model currency/MW per transition; multiplied by p_nom to get currency,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L376,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,oil,enabled,true,true,boolean; carrier selection,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L378,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,oil,p_min_pu,0.25,0.25,fraction of p_nom while status=1,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L379,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,oil,min_up_time,2,2,PyPSA snapshot count; hours only at 60-minute resolution,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L380,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,oil,min_down_time,2,2,PyPSA snapshot count; hours only at 60-minute resolution,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L381,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,oil,ramp_limit_up,0.80,0.80,fraction of p_nom per snapshot; no snapshot-weight scaling,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L382,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,oil,ramp_limit_down,0.80,0.80,fraction of p_nom per snapshot; no snapshot-weight scaling,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L383,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,oil,start_up_cost_per_mw,30.0,30.0,model currency/MW per transition; multiplied by p_nom to get currency,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L384,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,oil,shut_down_cost_per_mw,0.0,0.0,model currency/MW per transition; multiplied by p_nom to get currency,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L385,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,ALL,committable,True for exact carrier + p_nom>=50 + active + not extendable,True for exact carrier + p_nom>=50 + active + not extendable,see reason and audit report,KEEP,sensitivity definition,"Exact eligibility rule, not derivable in full from frozen metadata",https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L365-L374,PyPSA v1.0.7 component_attrs/generators.csv and unit-commitment.md
wholesale_overlay,ALL,initial_status,"off; up_time_before=0; down_time_before=max(min_down_time,1)","off; up_time_before=0; down_time_before=max(min_down_time,1)",see reason and audit report,KEEP,explicit synthetic initial state,Prior minimum downtime is already satisfied; no evidence this was actual historical state,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L253-L276,PyPSA v1.0.7 component_attrs/generators.csv and unit-commitment.md
wholesale_overlay,ALL,alternative_initial_status,"on; up_time_before=max(min_up_time,1); down_time_before=0","on; up_time_before=max(min_up_time,1); down_time_before=0",see reason and audit report,KEEP,declared boundary sensitivity,Explicit native alternative; do not silently substitute preserve without prior state,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L253-L276,PyPSA v1.0.7 component_attrs/generators.csv and unit-commitment.md
wholesale_overlay,ALL,ramp_limit_start_up/shut_down,1.0/1.0,1.0/1.0,see reason and audit report,KEEP,sensitivity definition,Pinned defaults permit full-nameplate transition; preserve separately from normal ramps,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L320-L342,PyPSA v1.0.7 component_attrs/generators.csv and unit-commitment.md
wholesale_overlay,ALL,snapshot_resolution,60 minutes,60 minutes,see reason and audit report,KEEP,frozen/default temporal convention,PyPSA min times and ramps ignore snapshot weights; half-hour use requires explicit conversion policy,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L399,PyPSA v1.0.7 component_attrs/generators.csv and unit-commitment.md
wholesale_overlay,ALL,full_generator_eligibility,active and p_nom_extendable unavailable in frozen metadata,active and p_nom_extendable unavailable in frozen metadata,see reason and audit report,HOLD,claim of exact upstream candidate set,Carrier/nameplate matching alone cannot establish both missing eligibility flags,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L348-L374,PyPSA v1.0.7 component_attrs/generators.csv and unit-commitment.md
wholesale_overlay,ALL,complete_native_network_feasibility,no full network/time-varying model admitted,no full network/time-varying model admitted,see reason and audit report,HOLD,native network UC/chronology conclusion,"Generator metadata omits full network, availability series and boundary states",https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L279-L287,PyPSA v1.0.7 component_attrs/generators.csv and unit-commitment.md
wholesale_overlay,ALL,wholesale_main_network,copperplate relaxation before UC,copperplate relaxation before UC,see reason and audit report,HOLD,claim of Reduced-network-constrained chronology,Full wholesale entrypoint changes line/transformer limits; parameter helper alone must be labelled extracted overlay,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L699-L725,PyPSA v1.0.7 component_attrs/generators.csv and unit-commitment.md
wholesale_overlay,ALL,rolling_window_commitment,24h copies; SoC explicitly carried,24h copies; SoC explicitly carried,see reason and audit report,HOLD,multi-window continuous UC,No commitment status/dwell carry in inspected loop; prefer one declared 168h horizon,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L503-L579,PyPSA v1.0.7 component_attrs/generators.csv and unit-commitment.md
wholesale_overlay,ALL,remove_must_run,"if true, resets all p_min_pu to0 after overlay","if true, resets all p_min_pu to0 after overlay",see reason and audit report,HOLD,p_min-preserving run without resolved config,Must explicitly establish false for any experiment depending on p_min,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L726-L730,PyPSA v1.0.7 component_attrs/generators.csv and unit-commitment.md
wholesale_overlay,ALL,terminal_minimum_times,truncated to remaining modeled snapshots,truncated to remaining modeled snapshots,see reason and audit report,KEEP,PyPSA1.0.7 finite-horizon semantics,Not cyclic chronology and not proof of feasibility after the final snapshot,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L399,PyPSA v1.0.7 component_attrs/generators.csv and unit-commitment.md
