fuel,source_line,parameter,raw_value,code_effect_if_exact_fuel_lookup,admission,scope,reason,source,implementation
Oil,3,p_max_pu,100,not assigned by add_thermal_generators from this CSV field,HOLD,native historical chronology parameter,"CSV presence does not prove use: p_min/p_max, initial uptime and startup cost are not copied by this thermal function.",https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L3,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
CCGT,4,committable,TRUE,TRUE only if exact normalized carrier key matches and thermal solve_mode is MILP,HOLD,native historical chronology parameter,LP explicitly disables UC; key normalization can prevent lookup; root config path differs from defaults.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L4,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
CCGT,4,min_up_time,247.5,247,HOLD,native historical chronology parameter,Thermal MILP code casts directly to int snapshots; CSV has no unit labels or time conversion; fractional part is truncated.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L4,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
CCGT,4,min_down_time,150,150,HOLD,native historical chronology parameter,Thermal MILP code casts directly to int snapshots; CSV has no unit labels or time conversion; fractional part is truncated.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L4,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
CCGT,4,ramp_limit_up,5.78,0.057800000000000004,HOLD,native historical chronology parameter,Thermal code comment calls raw value %/hr and divides by100; independent raw-source unit/calibration mapping unresolved.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L4,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
CCGT,4,ramp_limit_down,5.78,0.057800000000000004,HOLD,native historical chronology parameter,Thermal code comment calls raw value %/hr and divides by100; independent raw-source unit/calibration mapping unresolved.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L4,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
CCGT,4,p_min_pu,40,not assigned by add_thermal_generators from this CSV field,HOLD,native historical chronology parameter,"CSV presence does not prove use: p_min/p_max, initial uptime and startup cost are not copied by this thermal function.",https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L4,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
CCGT,4,up_time_before,0,not assigned by add_thermal_generators from this CSV field,HOLD,native historical chronology parameter,"CSV presence does not prove use: p_min/p_max, initial uptime and startup cost are not copied by this thermal function.",https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L4,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
CCGT,4,start_up_cost,64,not assigned by add_thermal_generators from this CSV field,HOLD,native historical chronology parameter,"CSV presence does not prove use: p_min/p_max, initial uptime and startup cost are not copied by this thermal function.",https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L4,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
CCGT,4,p_max_pu,100,not assigned by add_thermal_generators from this CSV field,HOLD,native historical chronology parameter,"CSV presence does not prove use: p_min/p_max, initial uptime and startup cost are not copied by this thermal function.",https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L4,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
OCGT,5,committable,TRUE,TRUE only if exact normalized carrier key matches and thermal solve_mode is MILP,HOLD,native historical chronology parameter,LP explicitly disables UC; key normalization can prevent lookup; root config path differs from defaults.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L5,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
OCGT,5,min_up_time,106.9,106,HOLD,native historical chronology parameter,Thermal MILP code casts directly to int snapshots; CSV has no unit labels or time conversion; fractional part is truncated.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L5,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
OCGT,5,min_down_time,63,63,HOLD,native historical chronology parameter,Thermal MILP code casts directly to int snapshots; CSV has no unit labels or time conversion; fractional part is truncated.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L5,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
OCGT,5,ramp_limit_up,14.37,0.1437,HOLD,native historical chronology parameter,Thermal code comment calls raw value %/hr and divides by100; independent raw-source unit/calibration mapping unresolved.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L5,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
OCGT,5,ramp_limit_down,14.37,0.1437,HOLD,native historical chronology parameter,Thermal code comment calls raw value %/hr and divides by100; independent raw-source unit/calibration mapping unresolved.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L5,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
OCGT,5,p_min_pu,28.9,not assigned by add_thermal_generators from this CSV field,HOLD,native historical chronology parameter,"CSV presence does not prove use: p_min/p_max, initial uptime and startup cost are not copied by this thermal function.",https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L5,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
OCGT,5,up_time_before,0,not assigned by add_thermal_generators from this CSV field,HOLD,native historical chronology parameter,"CSV presence does not prove use: p_min/p_max, initial uptime and startup cost are not copied by this thermal function.",https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L5,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
OCGT,5,start_up_cost,20,not assigned by add_thermal_generators from this CSV field,HOLD,native historical chronology parameter,"CSV presence does not prove use: p_min/p_max, initial uptime and startup cost are not copied by this thermal function.",https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L5,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
OCGT,5,p_max_pu,100,not assigned by add_thermal_generators from this CSV field,HOLD,native historical chronology parameter,"CSV presence does not prove use: p_min/p_max, initial uptime and startup cost are not copied by this thermal function.",https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L5,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
Sour gas,6,committable,TRUE,TRUE only if exact normalized carrier key matches and thermal solve_mode is MILP,HOLD,native historical chronology parameter,LP explicitly disables UC; key normalization can prevent lookup; root config path differs from defaults.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L6,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
Sour gas,6,min_up_time,106.9,106,HOLD,native historical chronology parameter,Thermal MILP code casts directly to int snapshots; CSV has no unit labels or time conversion; fractional part is truncated.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L6,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
Sour gas,6,min_down_time,63,63,HOLD,native historical chronology parameter,Thermal MILP code casts directly to int snapshots; CSV has no unit labels or time conversion; fractional part is truncated.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L6,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
Sour gas,6,ramp_limit_up,14.37,0.1437,HOLD,native historical chronology parameter,Thermal code comment calls raw value %/hr and divides by100; independent raw-source unit/calibration mapping unresolved.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L6,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
Sour gas,6,ramp_limit_down,14.37,0.1437,HOLD,native historical chronology parameter,Thermal code comment calls raw value %/hr and divides by100; independent raw-source unit/calibration mapping unresolved.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L6,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
Sour gas,6,p_min_pu,28.9,not assigned by add_thermal_generators from this CSV field,HOLD,native historical chronology parameter,"CSV presence does not prove use: p_min/p_max, initial uptime and startup cost are not copied by this thermal function.",https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L6,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
Sour gas,6,up_time_before,0,not assigned by add_thermal_generators from this CSV field,HOLD,native historical chronology parameter,"CSV presence does not prove use: p_min/p_max, initial uptime and startup cost are not copied by this thermal function.",https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L6,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
Sour gas,6,start_up_cost,20,not assigned by add_thermal_generators from this CSV field,HOLD,native historical chronology parameter,"CSV presence does not prove use: p_min/p_max, initial uptime and startup cost are not copied by this thermal function.",https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L6,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
Sour gas,6,p_max_pu,100,not assigned by add_thermal_generators from this CSV field,HOLD,native historical chronology parameter,"CSV presence does not prove use: p_min/p_max, initial uptime and startup cost are not copied by this thermal function.",https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L6,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
Nuclear,7,committable,TRUE,TRUE only if exact normalized carrier key matches and thermal solve_mode is MILP,HOLD,native historical chronology parameter,LP explicitly disables UC; key normalization can prevent lookup; root config path differs from defaults.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L7,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
Nuclear,7,min_up_time,600,600,HOLD,native historical chronology parameter,Thermal MILP code casts directly to int snapshots; CSV has no unit labels or time conversion; fractional part is truncated.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L7,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
Nuclear,7,min_down_time,600,600,HOLD,native historical chronology parameter,Thermal MILP code casts directly to int snapshots; CSV has no unit labels or time conversion; fractional part is truncated.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L7,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
Nuclear,7,ramp_limit_up,0.05,0.0005,HOLD,native historical chronology parameter,Thermal code comment calls raw value %/hr and divides by100; independent raw-source unit/calibration mapping unresolved.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L7,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
Nuclear,7,ramp_limit_down,0.05,0.0005,HOLD,native historical chronology parameter,Thermal code comment calls raw value %/hr and divides by100; independent raw-source unit/calibration mapping unresolved.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L7,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
Nuclear,7,p_min_pu,45,not assigned by add_thermal_generators from this CSV field,HOLD,native historical chronology parameter,"CSV presence does not prove use: p_min/p_max, initial uptime and startup cost are not copied by this thermal function.",https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L7,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
Nuclear,7,up_time_before,0,not assigned by add_thermal_generators from this CSV field,HOLD,native historical chronology parameter,"CSV presence does not prove use: p_min/p_max, initial uptime and startup cost are not copied by this thermal function.",https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L7,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
Nuclear,7,start_up_cost,30,not assigned by add_thermal_generators from this CSV field,HOLD,native historical chronology parameter,"CSV presence does not prove use: p_min/p_max, initial uptime and startup cost are not copied by this thermal function.",https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L7,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
Nuclear,7,p_max_pu,73,not assigned by add_thermal_generators from this CSV field,HOLD,native historical chronology parameter,"CSV presence does not prove use: p_min/p_max, initial uptime and startup cost are not copied by this thermal function.",https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L7,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
Biomass (dedicated),8,committable,TRUE,TRUE only if exact normalized carrier key matches and thermal solve_mode is MILP,HOLD,native historical chronology parameter,LP explicitly disables UC; key normalization can prevent lookup; root config path differs from defaults.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L8,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
Biomass (dedicated),8,min_up_time,394,394,HOLD,native historical chronology parameter,Thermal MILP code casts directly to int snapshots; CSV has no unit labels or time conversion; fractional part is truncated.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/data/generators/generator_data_by_fuel.csv#L8,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/generators/integrate_thermal_generators.py#L1594-L1655
